posada,name,id,category,incomes,assets,land,house,transport_cost
"народний депутат, Верховна рада України",Бандуров Володимир Володимирович,f1df4aa7-0462-478d-8cd3-92061d82b3bd,2,26196785,84857836.12,36896,641.9,3625900
"Народний депутат України, Верховна Рада України",Дубневич Богдан Васильович,fd9af232-d7a2-4fc6-b2a8-e61067c6f823,2,11534785,82086934.76,4569275,13744.53,0
"народний депутат України, голова підкомітету з питань діяльності органів прокуратури Комітету з питань законодавчого забезпечення правоохоронної діяльності, Верховна Рада України",Мисик Володимир Юрійович,7b824248-e447-47a4-a6a9-0fb4e721f6b3,2,4371366,81479061.26,502600,1192.5,0
"Народний депутат України, Управління справами Апарату Верховної Ради України",Гудзенко Віталій Іванович,76f51f67-97fb-4c77-8e19-081989902ace,2,1825194,80460002.45,72240,2982.11,4206332
"народний депутат України, Верховна рада України",Пресман Олександр Семенович,56af589b-bf8b-499a-9955-df3330f76a4e,2,960259,79257706.68,1982,1483,2500000
"народний депутат України, ВЕРХОВНА РАДА УКРАЇНИ",Фельдман Олександр Борисович,3269aadc-33f1-4df5-ac8e-1c6617c108b4,2,572685202,76780067.29,67507,2508.1,1665000
"народний депутат України, Голова комітету Верховної ради України з питань будівництва, містобудування і ЖКГ, Верховна Рада України",Скуратовський Сергій Іванович,90cb6b66-6ecf-4f50-bf38-3f026d20cbe8,2,4153323,74554612.9,3395,2108.3,4494000
"Народний депутат України, Верховна Рада України",Давиденко Валерій Миколайович,9932ffe2-02f3-4247-8ee2-6367fbaa1e01,2,3251884,67536438.32,54603,779.35,3169598
"народний депутат України, Верховна Рада України",Ківалов Сергій Васильович,589aa3ff-96dd-479d-8e96-29ed3a912907,2,2503574,64341638.96,1872,1078.7,0
"народний депутат, Верховна Рада України",Кононенко Ігор Віталійович,dcf3ba41-ac3a-4e60-9f6c-1c12bfbfa83f,2,7831439,62890421.4,6900,2459.23,0
"народний депутат України, Верховна Рада України",Москаленко Ярослав Миколайович,7507333c-53ba-441f-8fc0-b783a095fc2e,2,14584274,61641296.41,10285,1860.7,0
"народний депутат України, секретар комітету Верховної Ради України з питань свободи слова та інформаційної політики, Верховна Рада України",Кондратюк Олена Костянтинівна,60095b84-d2cf-4020-9c1d-d5640f7ced00,2,7220844,59242739.1,5470,882.8,0
