posada,name,id,category,incomes,assets,land,house,transport_cost
"прокурор Київської місцевої прокуратури №8, Прокуратура міста Києва",Тимошенко Наталія Андріївна,9e20d0f9-2d54-4e39-9f6d-4f0d1f2802fb,5,771149,5080167.363,1000,99,1110403
"Перший заступник керівника, Київська місцева прокуратура №5 міста Києва",Голуб Віталій Євгенович,76039142-e371-453f-894f-dc4ee951d952,5,529485,4953388.61,4849,232.2,412000
"прокурор відділу роботи з кадрами , Головна військова прокуратура Генеральної прокуратури України",Волік Олексій Леонідович,6317bb26-5479-4790-839e-f428e9578255,5,1796042,4556887,1000,418.1,675000
"заступник начальника відділу, Головна військова прокуратура Генеральної прокуратури України",Волік Леонід Григорович,28a4eb44-8b00-4972-8608-a2735a86b15d,5,1796042,4556857,1000,418.1,675000
"заступник начальника відділу, Головна військова прокуратура Генеральної прокуратури України",Волік Леонід Григорович,eb906509-c98b-443b-9183-85d97c55f2d5,5,1796042,4556857,1000,418.1,675000
"Заступник Генерального прокурора - керівник Спеціалізованої антикорупційної прокуратури, Спеціалізована антикорупційна прокуратура Генеральної прокуратури України",Холодницький Назар Іванович,2d00d0b6-24f5-45dc-baa8-17bb24614023,5,2100300,4495437.442,2200,119,900000
"прокурор, Дніпродзержинська місцева прокуратура",Мархасіна Юлія Віталіївна,ae893336-5e06-48c9-bc9f-20ad49b7c0ab,5,4853423,4460049.435,0,1043.5,2270000
"начальник першого слідчого відділу Департаменту з розслідування особливо важливих справ у сфері економіки , Генеральна прокуратура України",Машика Валерій Петрович,ea171520-f925-43a7-9c37-413096726d8f,5,3227943,4379927.07,6139,179.08,312563
"начальник відділу інформаційних технологій , прокуратура Сумської області",Жерьобкін Валентин Дмитрович,64f20584-ce4a-4dfa-97ea-b06997ecfa45,5,3242982,4308244.829,1184,428.8,26000
"начальник департаменту, Генеральна прокуратура України, Департамент міжнародно-правового співробітництва",Пікалов Євген Сергійович,63583dc8-8bfa-47ca-9c80-e49fc4bf1db2,5,957045,4233369.148,0,95,398021
"прокурор відділу, Генеральна прокуратура України",Ватутін Олександр Михайлович,5fcd7a93-d005-45cf-aeb2-d4ac314fc520,5,1503427,4205545.666,0,447.7,704420
"Прокурор Київської місцевої прокуратури №6, Прокуратура міста Києва",Омельченко Анастасія Олегівна,f0b9fa43-2eda-46a8-99be-a3f279981881,5,447066,4201982.781,4799,361.75,795963
"Заступник начальника відділу, Прокуратура міста Києва",Біловол Олександр Олександрович,62230dba-4ea3-4a27-868e-f45d0e087979,5,345916,4193365.339,0,176.8,300000
"Заступник начальника Департаменту , Генеральна прокуратура України",Драган Олена Василівна,2a8e3da7-7636-4787-85bb-19e7b000df87,5,3122552,4186349.594,2577,339.5,2789322
"Перший заступник прокурора області, Прокуратура Запорізької області",Карман Василь Васильович,eb12b637-152e-4c62-8778-bce87a394912,5,693399,4125112.47,6177,480.5,0
"прокурор відділу, Генеральна прокуратура України",Карман Вікторія Василівна,0a8b17ef-a265-4989-b005-c68896fd31d2,5,693399,4125112.47,6177,480.5,0
"начальник управління, прокуратура Харківської області",Шевченко Олександр Вікторович,8b5765ca-22c0-43b4-a4f5-d51c49a331ef,5,821699,4091682.796,0,573.5,726550
"начальник управління, прокуратура Харківської області",Шевченко Олександр Вікторович,eb80f799-eaeb-4bab-bd03-7f535edf0934,5,821699,4078736.882,0,573.5,726550
"заступник керівника підрозділу регіональної прокуратури, прокуратура Харківської області",Маслій Денис Костянтинович,d416ea6d-28cb-449e-985c-14398c3b7fd8,5,783220,4044672.625,2870,930,1644521
"прокурор прокуратури, Куп'янська міжрайонна прокуратура прокуратури Харківської області",Маслій Олена Василівна,70024736-2d98-4ebe-abe1-f509f85ca5aa,5,783220,4044672.625,2870,930,1644521
"заступник начальника відділу організації прийому громадян, розгляду звернень та запитів, прокуратура міста Києва",Суховолець Уляна Андріївна,8a7bac0f-9758-448d-aece-e55f63ffb442,5,397998,3990000,0,48.1,0
"Прокурор відділу процесуального керівництва у кримінальних провадженнях слідчих регіональної прокуратури прокуратури Донецької області , Прокуратура Донецької області",Борисевич Микола Володимирович,96a242d4-f145-471f-836c-316ed256dd74,5,842281,3973237.511,400,378.5,0
"прокурор Черкаської місцевої прокуратури, Черкаська місцева прокуратура",Румянцев Олексій Миколайович,802d7519-4c07-4c30-aed7-6151d9a7af98,5,368230,3933130.691,0,128.6,350000
"заступник начальника відділу, Прокуратура Одеської області","Кос'яненко Олег Олександрович",e83f1860-fe8b-471a-92e6-6f7414978b85,5,1391010,3900000,0,650,100000
"Прокурор відділу нагляду за додержанням законів органами, які ведуть боротьбу з організованою злочинністю управління нагляду у кримінальному провадженні, Прокуратура Київської області",Задорожний Олександр Володимирович,f7205f80-1db8-405f-b8d5-7b42854b956b,5,270295,3883283.173,454,426.3,0
"прокурор відділу забезпечення представництва управління представництва інтересів громадянина або держави в суді, прокуратура Харківської області",Голуб Ігор Олексійович,b18c7b4f-d668-41e4-a682-72bfe21d16d3,5,869108,3804230.374,1168,382.6,0
"прокурор Автономної Республіки Крим , прокуратура Автономної Республіки Крим",Мамедов Гюндуз Айдинович,05e80a75-aaee-4464-85e9-80fe4cf03866,5,734506,3801898.419,0,288.3,0
"начальник управління організації прийому громадян розгляду звернень та запитів, Генеральна прокуратура України",Улінець Олег Євстахійович,7a0b43be-d882-4d64-87b2-bcebee46910d,5,859543,3749890.652,0,795,140000
"керівник місцевої прокуратури, Лисичанська місцева прокуратура Луганської області",Лазуренко Віктор Миколайович,fc2432f5-c2f3-4345-abf9-fa4dfbe8a7f3,5,971272,3747745.695,1828,238.8,967440
"перший заступник керівника прокуратури №5 Харківської області, Прокуратура Харківської області",Кравченко Андрій Григорович,71ae58fc-7c20-4ca8-8109-662ccc9c523f,5,440470,3730000,500,201.7,0
"прокурор відділу прокуратури Харківської області, Прокуратура Харківської області",Кравченко Олена Євгеніївна,e3edb059-30be-4035-b7e4-c5dff7f21f47,5,440470,3730000,500,201.7,0
"Заступник начальника Департаменту підтримання обвинувачення та представництва інтересів держави в судах-начальник управління преставництва інтересів держави в суді, Генеральна прокуратура України",Суховетрук Ігор Леонідович,41824ff6-d117-40c0-9b51-d57914501f35,5,827738,3633959.683,1200,101.4,332000
"прокурор відділу, Генеральна прокуратура України",Федюк Юрій Петрович,f5744d57-8ac4-464f-8ece-98278f0ed782,5,1149962,3501687.804,1200,151,337662
"Перший заступник прокурора Київської області, прокуратура Київської області",Грабець Ігор Несторович,1061d4e6-852b-4353-8c78-160d623182de,5,770124,3487139.636,543,584,1004772
"Прокурор відділу організаційно-методичної роботи та координації діяльності правоохоронних органів у сфері протидії злочинності Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльност, Генеральна прокуратура України",Байрачний Андрій Леонідович,ee377722-1c8e-4934-a9c3-481628452b49,5,1783394,3480335.652,0,128,277000
"прокурор Херсонської області, прокуратура Херсонської області",Тригубенко Віталій Миколайович,70705c05-51ea-433c-a363-bccba0d73ed9,5,2472601,3467754.267,0,186.37,1260787
"прокурор відділу забезпечення представництва у вищих судах управління представництва інтересів держави в суді Департаменту підтримання державного обвинувачення та представництва інтересів держави в судах, Генеральна прокуратура України",Атаманюк Інна Олександрівна,5ef41bf9-6c8f-4360-adfd-3fcff1137ab3,5,2137059,3396605.184,2752,378.65,468360
"старший слідчий, прокуратура Харківської області",Малінка Володимир Євгенович,eadaaca6-e19c-4dfc-a7e8-68b3ea9df692,5,278827,3368066.76,0,142,470000
"Прокурор відділу, Генеральна прокуратура України",Сердюк Сергій Павлович,5695313c-b8e7-487a-aa9a-71e5940bcd9d,5,353911,3368066.76,0,0,0
"начальник відділу організації представництва у суді прокуратури області, прокуратура Львівської області",Кіра Галина Петрівна,ac524742-5815-4be0-9c17-a2feb674644a,5,1384881,3342016.69,124995,3200,0
"прокурор відділу Генеральної прокуратури України, Генеральна прокуратура України",Єрмоленко Дмитро Дмитрович,433ad0ba-6c5e-44ed-8e04-158b775f9874,5,1325986,3338584.847,823,92.9,2407062
"Начальник відділу забезпечення обвинувачення в регіонах управління підтримання обвинувачення в суді Департаменту підтримання обвинувачення та представництва інтересів держави в судах, Генеральна прокуратура України",Смокович Юлія Петрівна,2975edb4-d57a-439f-8027-11d384746e66,5,1581230,3308687.669,0,277.6,0
"начальник відділу, Прокуратура Київської області",Коляденко Наталія Вікторівна,c6751708-861a-4ff4-9811-2d378f527d34,5,1410188,3307145.666,1000,70.2,149000
"прокурор Київської місцевої прокуратури №7 м.Києва, Київська місцева прокуратура №7 м.Києва",Лободіна Оксана Степанівна,f4b44cda-f202-44bf-97ea-2222ea0ce918,5,3441117,3292661.456,1179,1038.5,0
"Начальник управління нагляду у кримінальному провадженні прокуратури міста Києва, Прокуратура міста Києва",Харлов Олександр Олександрович,87559b1a-5a32-4802-8106-1ee548c8d305,5,1858957,3240364.625,3043,99.5,528043
"заступник керівника Чернівецької місцевої прокуратури, прокуратура Чернівецької області",Скигар Тетяна Петрівна,fa0001b6-102a-44cc-83e5-2b9ba1d1a8dd,5,1327334,3221176.316,0,249.1,0
"Начальник Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності, Генеральна прокуратура України",Бедриківський Володимир Володимирович,70624615-45f0-456a-9bce-63911496b205,5,1818603,3208729.505,3236,650.7,440000
"заступник начальника Департаменту міжнародно-правового співробітництва Генеральної прокуратури України, Генеральна прокуратура України",Петров Дмитро Васильович,6e5df846-5869-4046-9cd2-f12c9310ef69,5,558357,3191243.255,2193,222.1,1478602
"Керівник Київської місцевої прокуратури №8, Київська місцева прокуратура №8",Ярошовець Василь Миколайович,3b1a0e06-2908-4a91-af94-aa8fac6c3e63,5,520714,3166654.972,1500,70.8,300312
"прокурор відділу процесуального керівництва у кримінальних провадженнях управління з розслідування кримінальних проваджень слідчими органів прокуратури та процесуального керівництва, Прокуратура Одеської області",Драник Ірма Василівна,e9704774-28af-4750-b67a-0110982c2197,5,3002814,3128415,5414,747.4,300000
"прокурор Черкаської місцевої прокуратури, Черкаська місцева прокуратура",Дуплій Аліна Володимирівна,bfc0ee9d-84e4-4938-88a9-d12b6ff62b4b,5,491643,3128211.109,750,129.9,0
"Заступник прокурора міста Києва , Прокуратура міста Києва",Андрєєв Андрій Васильович,eac2caa1-5d1e-4bf2-b114-ccec5448326b,5,1244818,3102960.07,1200,414,750000
"заступник керівника Київської місцевої прокуратури №6, Прокуратура міста Києва",Фурман Володимир Михайлович,515701c8-fb36-4f5e-b73c-fb33a7785895,5,599917,3087394.53,0,142.9,0
"Начальник слідчого відділу, Прокуратура Чернівецької області",Брюхович Андрій Йосипович,b1a94d9f-bc3f-49d8-a3db-1ced34266405,5,1410656,3063565.459,2515.06,472.8,49500
"Заступник Генерального прокурора , Генеральна прокуратура України",Стрижевська Анжела Анатоліївна,78ebba47-3b87-4128-a4d6-66b4d31617fb,5,1141289,2998296.258,549,291.8,0
"Заступник військового прокурора сил антитерористичної операції, Військова прокуратура сил антитерористичної операції",Візнюк Петро Миколайович,849a3e6f-d3da-48cf-a71e-ef31216511eb,5,1826168,2994447.84,675,189.8,0
"Головний спеціаліст, Генеральна прокуратура України",Кулинич Олена Василівна,922bd3d2-f4c4-4ed5-941f-475e848bba9b,5,1795265,2976522,0,178.4,808462
"Перший заступник прокурора Луганської області, Прокуратура Луганської області",Мичка Віталій Іванович,33a1d362-9e85-4871-b102-c1079225394b,5,1138643,2963590.711,0,106.3,249653
"суддя, Одеський окружний адміністративний суд",Танцюра Катерина Олексіївна,f9bb9dd0-9e39-409b-8a2c-6a902c4c9d27,4,1262548,147595976.5,270799,2189.4,
"суддя, Господарський суд міста Києва",Курдельчук Ігор Данилович,f8c58d09-6623-4680-ae2b-0d76d38cdf83,4,991103,40099690.88,1062,461.3,
"Суддя, голова Одеського апеляційного господарського суду, Одеський апеляційний господарський суд",Богацька Наталія Станіславівна,6af80ab3-2370-40ab-a126-3560c36a7703,4,26295530,33788403.8,1655,882.7,
"Присяжний, Приморський районний суд м.Одеси",Плукчі Олександр Іванович,8ce0c44e-016a-4b46-b377-49751f50b0de,4,900000,32395207.18,0,95,
"секретар судового засідання, Господарський суд Харківської області",Когут Марія Тарасівна,04c8c7d1-ab73-4e85-b3d6-b9ff48c51a66,4,2735055,29928752.68,0,69.3,
"Заступник керівника апарату суду, Господарський суд Миколаївської області",Гуринчук Ганна Юріївна,e81ae0b2-2524-4f4c-98ba-77767b5da57b,4,309114,29903704.65,924,207,
"голова суду, Апеляційний суд Чернігівської ообласті",Тагієв Садіг Рза Огли,fa6667d7-e02e-4002-b148-8f7b8477d637,4,1835424,29737487.75,6726,267.6,
"головний спеціаліст відділу діловодства та облікузвернень громадян, апеляційний суд Одеської області",Паненко Альона Миколаївна,2aa52901-b4a0-4dc5-bf0f-cd1d3c2b59b4,4,216565,24540341.43,22410,150.6,
"суддя, Господарський суд міста Києва",Джарти Вікторія Василівна,a447036b-c981-4833-b66d-997904991ddb,4,1300036,23788098.15,3049,1533.3,
"провідний спеціаліст, Київський апеляційний господарський суд",Чушко Олексій Вікторович,236c3889-ab16-4bd3-be0b-56c01188d229,4,449678,20037234,0,258.5,
"присяжний, Шевченківський районний суд м. Києва","Лук'янчиков Дмитро Артемович",453544d4-644a-4d2d-8bc2-31945279aa8e,4,1856559,19761206.05,5700,1109.5,
"Головний спеціаліст відділу організаційного забеспечення роботи суду та розгляду звернень, Одеський апеляційний господарський суд",Бахчеван Христина Миколаївна,12b5c8e2-0bcf-4ca2-a4f0-66951beaaaf9,4,5218550,19679909,5000,258.2,
"суддя, Верховний Суд",Чумак Юрій Якович,6ceecd0c-26e5-4e02-89fc-333af03025f1,4,5456857,16838871.98,2834,1176.5,
"судовий розпорядник, Харківський районний суд Харківської області",Латко Владлен Володимирович,4d220207-01c2-4fd7-8186-4dd4ef289443,4,67665,14594955.96,0,45.6,
"Суддя, Верховний Суд",Міщенко Іван Сергійович,48df87eb-227f-4d9d-a574-d0227708d8a0,4,14315485,14134458.21,0,186.5,
"заступник начальника відділу організаційного забезпечення роботи суду та розгляду звернень, Київський апеляційний господарський суд",Рябенко Руслана Михайлівна,9b7bc662-9ab1-4d9a-b48a-3b86a9b606f3,4,1504506,13286979.63,0,271.1,
"СУДДЯ, АПЕЛЯЦІЙНИЙ СУД ХАРКІВСЬКОЇ ОБЛАСТІ",Тичкова Олена Юріївна,821c25e4-e14b-4d0e-96b9-19dc45c18ac9,4,1877497,12777382.79,917,253.9,
"суддя, Донецький окружний адміністративний суд",Черникова Ангеліна Олександрівна,debe64b0-6474-4d5c-a5e1-a45bad7d502c,4,1000430,12633014.16,0,425.9,
"помічник судді, Ізмальський міськрайонний суд Одеської області",Пономаренко Костянтин Даніїлович,08d5711b-f1de-4ef3-823e-5a6ef71535e7,4,638247,11705805.75,31576,1575.9,
"суддя, Господарський суд Харківської області",Суярко Тетяна Дмитрівна,f25c728f-aea6-4c4e-a024-dba67e2be5ae,4,1316968,11219509.85,70248,339.8,
"Судовий розпорядник, Куйбишевський районний суд Запорізької області",Машинська Ліна Миколаївна,41be98ee-b104-423b-9e37-16b4dc056b27,4,17239542,11078150.21,121845,231.2,
"суддя, Господарський суд міста Києва",Капцова Тетяна Петрівна,2da0a5d9-b92c-4356-be37-10c389d47d86,4,3959769,10902105.23,600,87.3,
"суддя, Вищий господарський суд України",Сибіга Олександр Миколайович,95eb33b1-573b-48fc-a5c1-59c17362a0c8,4,1318301,10728314.29,11576,797.9,
"суддя, Дніпропетровський окружний адміністративний суд",Власенко Денис Олександрович,0669568f-d897-4192-acab-6fe4c847ce51,4,381275,10225713.49,0,322.8,
"суддя, голова суду, Донецький апеляційний господарський суд",Сгара Елла Валеріївна,26d29f93-4043-4e7d-96c9-cd142c4d83f7,4,729518,9318318.036,0,204.22,
"заступник керівника апарату , господарський суд Хмельницької області",Чемеринська Оксана Юріївна,c47423b7-7dd4-41f1-bc2a-f57b61885ecf,4,310007,9175165.7,22500,368.4,
"суддя, Окружний адміністративний суд міста Києва",Санін Богдан Володимирович,a326e165-14a3-4294-afda-e5eed16192ab,4,4504793,9073556.657,898,958,
"суддя, господарський суд Харіквської області",Лавренюк Тетяна Анатоліївна,397ed57c-68b6-4c91-8bc1-3a2d62d27b81,4,2560781,8962488.6,46881,820.2,
"спеціаліст відділу забезпечення розгляду справ другою судовою палатою управління забезпечення роботи другої судової палати, Вищий адміністративний суд України",Євтушевський Віталій Миколайович,87a692c2-954c-45bb-8641-e342690b46cb,4,542020,8871579.595,0,58,
"Суддя, Голова касаційного кримінального суду у складі Верховного Суду, Верховний Суд",Кравченко Станіслав Іванович,7f63b325-ba4c-4ddb-996a-9bf7412694ee,4,817003,8536193.755,3075,321,
"суддя Господарського суду Рівненської області, Господарський суд Рівненської області",Торчинюк Вадим Георгійович,9fae0561-7831-4c9b-8716-64cfc8facedf,4,2332396,8214085.377,12300,1047.2,
"Суддя, Господарський суд міста Києва",Морозов Сергій Миколайович,bfe7cd6d-4bd9-4235-ac5e-0e5739bc83e0,4,41908685,7858278.878,618,312.1,
"суддя, Київський апеляційний господарський суд",Сулім Владислав Володимирович,7c8087e0-6d63-46dc-9440-6c51d4c3fe7c,4,1477520,7805048.607,0,2175.33,
"начальника відділу забезпечення діяльності секретаря та суддів судової палати, Касаційний цивільний суд у складі Верховного Суду",Літвінова Олена Василівна,6582a20b-4785-4661-bb71-acd564e68e19,4,989641,7373533.61,2150,552.8,
"суддя, Київський окружний адміністративний суд",Виноградова Оксана Іванівна,51ca8021-f1af-4d54-966c-482cf56bf022,4,396418,7367031.149,0,203.3,
"суддя, господарський суд Черкаської області",Спаських Наталія Миколаївна,ec797db4-cd36-49ef-86fd-69f159eaac07,4,797751,7320270.517,5341,785.86,
"суддя, Апеляційний суд Харківської обюласті",Плетньов Володимир Васильович,a443461f-79f5-4bc0-ab49-9eddb403332e,4,578777,7241343.534,0,378.8,
"суддя , Вищий господарський суд України",Попікова Ольга Володимирівна,50b98c3b-8f65-44fe-b5c2-e5344d7ff2da,4,214352,7186366.75,0,80.02,
"Суддя Верховного Суду у Касаційному господарському суді, Верховний Суд",Кібенко Олена Рувімівна,8289c15d-86f4-4663-a614-8bf8e278dd2e,4,2694000,7085398.08,0,233.7,
"Суддя, Дніпропетровський окружний адмінінстративний суд",Верба Ірина Олександрівна,19b07834-9225-485f-b270-a278d5c85d10,4,19354425,7034138,208,550.9,
"суддя, Вищий господарський суд України",Ємельянов Артур Станіславович,6e299632-1d59-4d8a-ad5e-709e23681f08,4,283530,6728464.43,0,157.6,
"суддя, Вищий господарський суд України",Ємельянов Артур Станіславович,4e96541f-1ef3-4e2e-be79-802d766dcd56,4,283530,6728464.43,0,157.6,
"суддя, сарненський районний суд рівненської області",Слободянюк Борис Костянтинович,e177c8e6-19f0-4e69-b98d-b382c8801e06,4,2788690,6567730.182,0.45,474.2,
"суддя, Вищий господарський суд України",Могил Сергій Костянтинович,d55eef97-448e-4de2-80a4-452e965fb17e,4,2518916,6474120.575,1943,360.4,
"секретар судових засідань, Шевченківський районний суд м. Чернівці",Столяр Ольга Іванівна,a30a071d-2ca8-4f87-a9b0-0ba0f6c70676,4,990000,6439301.033,1357,1951,
"суддя, Господарський суд Полтавської області",Семчук Олена Сергіївна,dba1345f-28b5-457b-9f40-bd9126e93ac0,4,1713949,6356411.422,1802,524.2,
"суддя, Господарський суд Донецької області",Малікова Елеонора Ігорівна,2c4a5e81-c203-4a7b-8fcc-dd4ffe91a2bf,4,4060466,6350800.293,7166.71,3158.9,
"суддя, ГОСПОДАРСЬКИЙ СУД ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ",Ніколенко Михайло Олександрович,7677fb6c-9255-4d6d-9228-04c245564069,4,551400,6343192.398,22212,332.7,
"заступник голови Окружного адміністративного суду міста Києва, Окружний адміністративний суд міста Києва",Аблов Євгеній Валерійович,85af7f41-dc18-4119-810b-f2c91c8e64de,4,555970,6326168.06,0,427.2,
"Суддя Комінтернівського районного суду Одеської області, Комінтернівський районний суд Одеської області",Аблова Юлія Юріївна,264013bb-322d-4b83-b47e-20a32edc28b1,4,555970,6326168.06,0,427.2,
"суддя, Апеляційний суд міста Києва",Оніщук Максим Іванович,21eaec14-aefd-414e-9563-202c95dce7a9,4,2792237,6174789.06,6888,312.6,
"Суддя, Господарський суд Харківської області",Яризько Володимир Олександрович,9d4d09db-a9c7-45ed-8a91-175d2246a4a9,4,1574925,6132772.37,53230,315.2,
"Суддя, Кілійський районний суд Одеської області",Манжос Наталія Володимирівна,ea78f70c-1b78-4097-8ee3-1a1acf4b1e9b,4,449460,6118654.614,0,72.9,
"суддя, Господарський суд міста Києва",Бойко Роман Володимирович,cb0317ce-3eff-4bc8-8471-0e668850377a,4,5106582,5945526.012,24323,779.6,
"Присяжний , Оболонський районний суд міста Києва",Славська Анна Василівна,0f317dff-edd0-424c-8f15-dfabf2214b50,4,52443,5929000,616,213,
"суддя, Кіровоградський окружний адміністративний суд",Дегтярьова Світлана Володимирівна,4fc099ee-f4d9-49b7-897d-84ed276851f8,4,10788558,5920741.297,635067.77,735.61,
"секретар судового засідання канцелярії, Ленінський районний суд міста Полтави",Кочарян Софія Арменівна,117f3e43-f0f8-4a1a-90ee-bdc9a69670d2,4,734854,5894116.83,3000,48,
"суддя, Солом'янський районний суд м. Києва",Верещінська Ірина Вікторівна,76ae53df-3c7d-4d62-b235-51c632060d54,4,2446761,5817690.074,2075734,207.6,
"суддя, Вищий адміністративний суд України",Борисенко Ірина Вікторівна,583215fc-0369-4990-b636-99f59baee739,4,482774,5770035.584,1746,538.8,
"суддя, Хмельницький окружний адміністративний суд","Божук Дар'я Анатоліївна",8c504007-088d-4ecb-a347-9e73cd0d9b33,4,2018797,5615090.603,1000,255.2,
"суддя, Верховний Суд",Гудима Дмитро Анатолійович,135d0345-49c4-4592-a718-24b32175c1bb,4,2265091,5523435.485,2605,531.3,
"начальник відділу документального забезпечення (канцелярія), Вінницький окружний адміністративний суд",Кривешко Ірина Володимирівна,827dae08-1ea3-419f-b1ef-20f035bd8524,4,2087068,5411688.92,13198,605.8,
"суддя, Рівненський апеляційний господарський суд",Павлюк Ірина Юріївна,27328bb4-8c8f-45dc-9ddf-8c572b76cf09,4,1487045,5367427.945,63050,828.3,
"спеціаліст першої категорії, Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ",Клімовських Світлана Андріївна,7159df6b-9ab7-4e51-b8e3-147ca96ce450,4,219957,5366352.599,27693,95,
"суддя, Київський апеляційний адміністративний суд",Василенко Ярослав Миколайович,ffc09e92-56df-4689-8e2d-4b843a0af79c,4,3151730,5336413.753,1830,79.9,
"присяжний засідатель, Деснянський районний суд міста Чернігів",Полуян Олена Валеріївна,e31a1d04-17c3-448a-8c17-bd275ea5871f,4,50769,5182247.857,0,58.4,
"суддя, Господарський суд Київської області",Лутак Тетяна Василівна,d0dde462-1578-4ff2-87be-618461d14a65,4,3448850,5144311.92,1500,469.1,
"Голова правління. Присяжний., ОСББ ""12-й Щасливий"". Запорізька обл., м. Мелітополь, вул. Казарцева, буд.12. Мелітопольський міськрайонний суд Запорізької області.",Міхова Ольга Євгеніївна,259a59d6-c597-41ae-8b92-e37e77a6752e,4,51546,5057095.338,0,315.1,
"Керівник апарату Господарського суду Волинської області, Господарський суд Волинської області",Коритнюк Олег Олександрович,6a865d2d-c47b-44d0-bbe5-3200a68c9f00,4,1082462,5004554.011,6939,314.9,
"Суддя, Господарський суд Харківської області",Денисюк Тетяна Станиславівна,431ab2cb-97b5-467f-9be0-9b67d210267b,4,584788,4990302.044,0,247.2,
"суддя, Дніпровський районий суд м.Києва",Яровенко Наталія Олегівна,b19565a4-0a0d-4a1e-a63f-4de5f2cfb03d,4,256178,4967898.471,1233,109.4,
"суддя, Приморський районний суд м.Одеси",Єршова Лариса Сергіївна,552b74be-59d6-4e43-9d99-94c5e539075e,4,348534,4921000,0,189.4,
"суддя Саксаганського районного суду міста Кривий Ріг Дніпропетровської області, Саксаганський районний суд міста Кривий Ріг Дніпропетровської області",Кісера Лілія Ігорівна,d0f72433-0534-4221-a8c1-812221e7b286,4,1051565,4904267.057,8509,318.1,
"суддя, Одеський апеляційний господарський суд",Аленін Олександр Юрійович,b638caa3-078d-4764-bebf-b922b2521d6c,4,1322023,4800892.258,0,587.9,
"суддя , Одеський апеляційний адміністративний суд",Зуєва Лариса Євгеніївна,4b557ea5-33e0-4d86-8d92-0c4ef9c36aac,4,2818491,4798230.73,1000,636.3,
"суддя, Вищий адміністративний суд України",Цвіркун Юрій Іванович,f70924da-fd04-491f-9b7b-32b6c819c0b1,4,1403595,4782215.782,0,386.2,
"суддя, Дніпропетровський окружний адміністративний суд",Голобутовський Роман Зіновійович,be07f06d-651e-4e5a-8914-3c8e64002c5b,4,5199074,4711066.76,0,78,
"Суддя, Київський районний суд м. Одеси",Гниличенко Марина Віталіївна,6149b10c-9093-4aa9-8216-9470e24c9d6c,4,5947389,4710083.45,805,247.9,
"Голова суду, Ізюмський міськрайонний суд Харківської області",Одарюк Михайло Павлович,5e84cac4-08ae-41a6-bab1-218f5f1c03ed,4,1230135,4636878.415,0,189.8,
"суддя, Закарпатський окружний адміністративний суд",Ващилін Руслан Олегович,d8e62ae5-7e5c-45ea-baca-a054150a3261,4,870308,4633313.923,0,766.22,
"суддя, Брусилівський районний суд Житомирської області",Данилюк Ольга Станіславівна,d9413ab0-d2c6-4e28-b792-83eb8abf3061,4,1022609,4594597.112,6797,1290.3,
"суддя, Київський апеляційний адміністративний суд",Епель Оксана Володимирівна,bdf90fa1-f3a0-4a1e-ace6-e3698e7e1916,4,2948939,4563445.785,9455,1499.6,
"Народний засідатель, Шевченківський районний суд у м. Чернівці",Тулик Руслан Євгенович,000230ee-063f-425c-9f96-30fa2fc24219,4,129851,4409244.187,0.5,207.9,
"суддя, Вищий адміністративний суд України",Черпіцька Людмила Тимофіївна,19467c05-eddd-4ad0-98a1-f8bc133ee5cc,4,445842,4389978.418,13121,567.2,
"суддя, Вищий господарський суд України",Євсіков Олексій Олександрович,4b4d34ce-eee9-412f-9f96-f16ac6fd6b06,4,1905717,4380758.929,904,370.62,
"суддя, господарський суд міста Києва",Паламар Петро Іванович,c758e9be-44f0-424e-8a42-9ed07340b650,4,1337293,4378610.474,1575,640,
"Начальник правового управління , Вищий господарський суд України, правове управління",Карпенко Людмила Василівна,826eeeb6-d863-4099-b5e8-f8a993cd6a4f,4,765579,4374118,0,60,
"голова суду, Франківський районний суд м.Львова",Мартьянова Світлана Мирославівна,d9b93820-70d1-4545-8f2c-947203dcafb3,4,1808896,4362213.42,2447,246.8,
"голова суду, суддя, Київський районний суд м. Харкова",Шаренко Світлана Леонідівна,46722af2-fc8b-44a9-b29d-647f103db474,4,2846877,4321350.211,48897,899.4,
"суддя, Господарський суд Сумської області",Жерьобкіна Євгенія Анатоліївна,a29c7f32-bbcf-44c3-903a-496b65e1f89d,4,3242982,4308244.829,1584,428.8,
"суддя, Господарський суд Закарпатської області",Андрейчук Любомир Вікторович,20eee52f-1e1f-438d-abb0-11d5d8a86f90,4,252059,4300000,0,172.6,
"суддя, Конституційний Суд України",Касмінін Олександр Володимирович,3885ed84-e55a-4b2e-9bc5-737ef75ce599,4,4992178,4258019.291,1061,435.7,
"Суддя, Верховний Суд",Ткач Ігор Васильович,0b1a5cd9-e5f1-467a-8dd1-aee13f0d7c29,4,3275538,4237728.76,510,190.4,
"суддя, господарський суд Донецької області",Говорун Олександр Володимирович,9c0c0313-faad-40eb-951f-9eb18e67e79a,4,254607,4229404.775,1000,147.76,
"суддя, Харківський окружний адміністративний суд",Котеньов Олексій Геннадійович,3816d52d-b858-46c1-97e0-11c5e1b2edfd,4,230907,4097814.558,4204,173,
